alleleGroup,broadSpecificity
05,05
51,05
52,05
#
07,07
#
08,08
#
12,12
44,12
45,12
#
13,13
#
14,14
64,14
65,14
#
15,15
62,15
63,15
75,15
76,15
77,15
#
16,16
38,16
39,16
#
17,17
57,17
58,17
#
18,18
#
21,21
49,21
50,21
40,21
#
22,22
54,22
55,22
56,22
#
27,27
#
35,35
#
37,37
#
39,39
#
40,40
60,40
61,40
#
41,41
#
42,42
#
47,47
#
51,51
#
53,53
#
73,73
#
70,70
71,70
72,70
#
81,81
#
82,82
