alleleGroup,broadSpecificity
01,01
#
02,02
15,02
16,02
#
03,03
17,03
18,03
#
04,04
#
05,05
11,05
12,05
#
06,06
13,06
14,06
#
07,07
#
08,08
#
09,09
#
10,10
